NCT_ID,Brief_Title,Has_Adverse_Events,Total_Deaths,Total_Serious_AEs,Total_Other_AEs,Unique_Serious_Events,Unique_Other_Events,Event_Groups
NCT01763827,Monoclonal Antibody Against PCSK9 to Reduce Elevated LDL-C in Subjects Currently Not Receiving Drug ...,True,0,6,51,7,3,6
NCT01948427,Observational Study That Will Collect Information on Patients With Urea Cycle Disorders (UCDs),True,6,88,0,113,0,5
NCT02842827,"A Study of Bomedemstat (IMG-7289/MK-3543) With and Without ATRA, in Participants With Advanced Myelo...",True,15,44,45,66,309,8
NCT03422627,Safety and Efficacy of Efavaleukin Alfa in Subjects With Steroid Refractory Chronic Graft Versus Hos...,True,2,18,28,33,198,5
NCT04740827,Atogepant for Prophylaxis of Migraine in Participants Who Failed Previous Oral Prophylactic Treatmen...,True,0,4,74,4,4,2
NCT01178827,Sanctura Muscarinic Receptor Antagonist Resists Transport (SMART-II) Trial,True,0,0,14,0,24,3
NCT02217527,Test of Novel Drug for Smoking Cessation,True,0,0,8,0,8,2
NCT01943227,Effect of Alveolar Minute Ventilation on Respiratory Gas Heat Content,True,0,0,0,0,0,2
NCT01663727,"Study To Evaluate the Efficacy and Safety Of Bevacizumab, and Associated Biomarkers, In Combination ...",True,323,111,455,115,60,2
NCT00315627,Steroid-free and Long-term Calcineurin-free Trial in Islet Cell Transplantation,True,0,3,3,2,38,1
NCT02962427,Treatment of Post-dural Puncture Headache in Postpartum Patients: Sphenopalatine Ganglion Block to E...,True,0,0,0,0,0,2
NCT01278927,Exercise and Stress Management Post Autologous and Allogeneic Transplant (BMT CTN 0902),True,0,1,0,1,0,4
NCT01486927,"An Open-label Safety, Efficacy and Pharmacokinetic Study of a Recombinant FVIII Compared to Recombin...",True,0,8,45,10,3,1
NCT02493127,The Effect of Priming of Questionnaire Content on Grip Strength in Patients With Hand and Upper Extr...,True,0,0,0,0,0,2
NCT01798927,Effect of Lower Extremity Ankle Foot Orthoses in Parkinson's Disease,True,0,0,0,0,0,1
NCT02733627,"To Investigate Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of BI 1467335 Following M...",True,0,0,26,0,28,4
NCT01254227,Efficacy and Safety of Deferasirox in Combination With Deferoxamine Followed by Deferasirox Monother...,True,1,17,52,33,60,1
NCT01117727,Sensorimotor Rhythm Brain-Computer Interface Switch to Operate Assistive Technology,True,0,0,0,0,0,1
NCT02923427,I-gel vs LMA Supreme in Laparoscopic Gynecological Surgery,True,0,0,0,0,0,2
NCT01947127,Venous Lactate in Progression to Overt Septic Shock and Mortality in Non-elderly Sepsis Patients in ...,True,0,0,0,0,0,2
NCT03161327,Digital Ankle Brachial Index (ABI) as a Screening Tool in Detecting Peripheral Arterial Disease,True,0,0,0,0,0,1
NCT02716727,Comparison of Two Gingival Displacement Procedures,True,0,0,0,0,0,2
NCT02597127,Trial to Evaluate the Effect of ALN-PCSSC Treatment on Low Density Lipoprotein Cholesterol (LDL-C),True,2,70,400,88,25,8
NCT01710527,BE Study of Metformin GSK 500mg,True,0,0,3,0,3,2
NCT04300127,Pioglitazone for Idiopathic Gastroparesis,True,0,0,1,0,10,1
NCT01295827,Study of Pembrolizumab (MK-3475) in Participants With Progressive Locally Advanced or Metastatic Car...,True,909,525,1180,343,128,12
NCT01740427,A Study of Palbociclib (PD-0332991) + Letrozole vs. Letrozole For 1st Line Treatment Of Postmenopaus...,True,22,163,644,193,76,2
NCT00846027,A Study of Avastin (Bevacizumab) in Combination With Taxane-based Chemotherapy as First Line Treatme...,True,0,21,82,20,117,1
NCT02520427,A Phase 1 Study of AMG 330 in Subjects With Myeloid Malignancies,True,11,56,94,67,379,26
NCT03959527,Zoliflodacin in Uncomplicated Gonorrhoea,True,0,0,269,0,8,2
NCT00323427,"Clinical Trial of the ""Living Well With Hearing Loss Workshop""",True,0,0,0,0,0,2
NCT03443427,A Study to Test if a Third Dose of the Vaccine is Safe in Current and Former Smokers Aged 40 to 80 Y...,True,3,21,190,30,100,2
NCT00402727,Comparison of Sequential IV/PO Moxifloxacin With IV Piperacillin/Tazobactam Followed by PO Amoxicill...,True,0,35,55,35,6,2
NCT01562327,A Non-interventional Study of RoActemra/Actemra (Tocilizumab) in Patients With Rheumatoid Arthritis,True,0,2,0,2,0,1
NCT00114127,Duloxetine for Social Anxiety Disorder: Prediction of Long Term Outcome,True,0,2,2,2,2,2
NCT01519427,Selumetinib and Akt Inhibitor MK2206 in Treating Patients With Stage III or Stage IV Melanoma Who Fa...,True,0,1,2,4,30,1
NCT02005627,Grass Pollen Allergen Immunotherapy Tablet (AIT) Time Course Study,True,0,0,42,0,8,2
NCT00602927,Effects of Varenicline on Brain Activity During Nicotine Abstinence,True,0,0,1,0,1,2
NCT01332227,"Atazanavir/Ritonavir, Once Daily + Raltegravir, Twice Daily, Switch Study in HIV-1-Infected Patients",True,0,5,50,7,16,2
NCT02138227,A Randomized Trial of the Early Referral and Request Approach (ERRA) Intervention to Increase Consen...,True,0,0,0,0,0,2
NCT00220727,Rapid Infusion Of Immune Globulin Intravenous (IGIV) In Patients With ITP,True,0,0,15,0,9,2
NCT04606927,Pragmatic Urinary Sodium-based Treatment algoritHm in Acute Heart Failure,True,62,130,0,1,1,2
NCT02786927,Preference Attributes of ELLIPTA Dry Powder Inhaler (DPI) and HANDIHALER DPI in Subjects With Chroni...,True,0,2,0,4,0,2
NCT02239627,Epidural Clonidine Versus Corticosteroid for Low Back Pain,True,0,0,0,0,0,2
NCT02854527,Transporter Cocktail Mutual Interaction,True,0,1,5,1,1,5
NCT02753127,A Study of Napabucasin (BBI-608) in Combination With FOLFIRI in Adult Patients With Previously Treat...,True,1006,435,1221,250,51,2
NCT00593827,Phase II Trial of Weekly or Every 3-week Ixabepilone for Patients With Metastatic Breast Cancer,True,0,55,171,65,43,2
NCT00584727,In-office Evaluation of Two Toric Soft Contact Lenses and a Spherical Soft Contact Lens,True,0,0,0,0,0,6
NCT01854827,Safety Study of Intravenous Immunoglobulin (IVIG) Post-Portoenterostomy in Infants With Biliary Atre...,True,1,26,29,10,50,1
NCT05282927,Implementing Group Physical Therapy (PT) for Veterans With Knee Osteoarthritis (Group PT): Function ...,True,0,0,0,0,0,2
NCT05896527,A Study to Evaluate the Efficacy and Safety of DC-806 in Participants With Moderate to Severe Plaque...,True,0,1,46,1,5,5
NCT01832727,"Phase 1b/2, Multicenter, Open-label Study of Oprozomib and Dexamethasone in Patients With Relapsed a...",True,2,24,65,24,274,9
NCT00947427,Canakinumab Study in Individuals With Newly Diagnosed Type 1 Diabetes,True,0,2,45,2,11,2
NCT03245827,Hypogonadotropic Hypogonadism in Obese Young Males,True,0,0,0,0,0,4
NCT05653427,A Study of Amivantamab Monotherapy in Participants With Previously Treated Advanced Hepatocellular C...,True,5,4,18,3,59,1
NCT03383627,Assessment of Glycemic Control in Patients With Type 2 Diabetes Mellitus and Late Stage Chronic Kidn...,True,0,0,0,0,0,1
NCT03989427,The Effectiveness of Brushing and Flossing Sequence on Control of Plaque and Gingival Inflammation,True,0,0,0,0,0,1
NCT01483027,Efficacy Evaluation of TheraSphere Following Failed First Line Chemotherapy in Metastatic Colorectal...,True,347,142,382,143,329,2
NCT01818427,PreHospital Air Medical Plasma Trial,True,142,3,7,3,6,2
NCT02118727,Therapy in Amyotrophic Lateral Sclerosis (TAME),True,6,11,65,11,22,2
NCT00562627,Efficacy of Multimodal Peri- and Intraarticular Drug Injections in Total Knee Arthroplasty,True,0,1,0,1,0,3
NCT00179127,Use of Insulin Glargine to Treat Diabetic Ketoacidosis,True,0,0,0,0,0,2
NCT02415127,"Safety, Tolerability and Efficacy of ACTIMMUNE® Dose Escalation in Friedreich's Ataxia",True,0,3,82,3,33,2
NCT02751827,Predicting Severe Toxicity of Targeted Therapies in Elderly Patients With Cancer,True,129,132,243,80,94,3
NCT02234427,Pharmacogenomics of Antiplatelet Response,True,0,0,0,0,0,1
NCT00686127,Symptom Management After Breast Cancer Surgery,True,0,0,0,0,0,2
NCT00626327,Safety and Immune Response of Novartis MenACWY-CRM Conjugate Vaccine When Given to Healthy Toddlers,True,0,46,1357,46,15,3
NCT00207727,A Safety and Efficacy Study of CNTO1275 in Patients With Multiple Sclerosis,True,0,7,182,7,43,5
NCT01931527,Effect of Reducing Uric Acid on Insulin Sensitivity and Oxidative Status,True,0,0,0,0,0,2
NCT04210427,Cystic Fibrosis and Gut Dysmotility: The Effect of Polyethylene Glycol (PEG) on Intestinal Transit,True,0,0,0,0,0,1
NCT01242527,Epanova® for Lowering Very High Triglycerides,True,0,7,62,6,3,4
NCT02420327,Low-Dose Galantamine to Potentiate the Attention-Enhancing Effects of Low-Dose Nicotine,True,0,0,10,0,4,4
NCT02633527,Efficacy and Safety of SPN-812 (Viloxazine Extended-release Capsule) in Children With ADHD,True,0,0,108,0,11,5
NCT01970527,Phase II Trial of Stereotactic Body Radiotherapy Followed by Ipilimumab in Treating Patients With St...,True,15,2,22,2,71,2
NCT04051827,Drug-Drug Interaction Study of TAK-788 and Midazolam in Participants With Advanced Non-small Cell Lu...,True,4,20,26,24,54,1
NCT03928327,A Study to Evaluate Drug-Drug Interaction of TAK-788 With Itraconazole and Rifampin in Healthy Adult...,True,0,0,24,0,34,4
NCT03452527,Open-Label Study of Intravitreal ICON-1 in Patients With Choroidal Neovascularization Secondary to A...,True,0,3,14,4,34,2
NCT04756427,Sodium Citrate 4% Locking Solution for Children Requiring Home Parenteral Nutrition,True,0,0,0,0,0,1
NCT02300727,Study to See How Safe Curcumin is and How Well it Works When Used to Treat Mucositis in Patients Get...,True,0,0,0,0,0,6
NCT01411527,The COPENHAGEN Puberty Study,True,0,0,0,0,0,1
NCT02383927,Phase II Study of Tipifarnib in Squamous Head and Neck Cancer With HRAS Mutations,True,48,40,61,62,170,4
NCT02017327,Safety and Efficacy Assessment of Monoprost® in Comparison With Lumigan® 0.01 % and Lumigan® 0.03% U...,True,0,7,0,7,0,3
NCT00825227,Safety and Efficacy of Armodafinil for Fatigue Associated With Taxanes Alone or in Combination With ...,True,0,4,8,4,26,2
NCT03854227,A Dose Escalation Study Of PF-06939999 In Participants With Advanced Or Metastatic Solid Tumors,True,17,22,52,29,156,12
NCT01399827,Omega-3 Fatty Acid Supplementation to ADHD Pharmacotherapy in ADHD Adults With Deficient Emotional S...,True,0,0,2,0,10,2
NCT02039427,The Effect of Prophylactic Ketorolac on Sore Throat After Thyroid Surgery,True,0,0,0,0,0,4
NCT05071027,Dual Antiplatelet Therapy Adherence With Reminder App Usage,True,0,0,0,0,0,2
NCT02477527,Atripla to Stribild Switch Study to Evaluate Sleep Disturbances,True,0,0,0,0,0,1
NCT02642627,The Use of Bellafill for Atrophic Acne Scar Correction in the Full Facial Area,True,0,0,6,0,5,1
NCT01229527,Comparison Between Two Different Dosages of Remifentanil During Colonoscopy,True,0,0,32,0,8,3
NCT01223027,Study of Dovitinib Versus Sorafenib in Patients With Metastatic Renal Cell Carcinoma,True,0,245,539,213,45,2
NCT02983227,A Study to Evaluate the Long-Term Safety and Efficacy of GDC-0853 in Participants With Moderate to S...,True,3,30,26,35,1,2
NCT01737827,Study Efficacy and Safety of INC280 in Patients With Advanced Hepatocellular Carcinoma.,True,33,20,38,26,64,6
NCT01510327,PLATINUM Trial to Assess the PROMUS Element Stent System for Treatment of De Novo Coronary Artery Le...,True,0,2,9,5,4,1
NCT01047527,An Effectiveness Trial of Maintenance Therapy for Nicotine Dependence,True,0,14,0,13,0,3
NCT03488927,Development and Pilot Trial of an Intervention to Reduce Disclosure Recipients Negative Social React...,True,0,0,0,0,0,3
NCT01743027,Efficacy and Safety of an Ophthalmic Solution in Patients With Allergic Conjunctivitis,True,0,0,0,0,0,4
NCT02916927,Intravenous Sub-dissociative Dose Ketamine Injection Versus Infusion for Analgesia in the Emergency ...,True,0,0,0,0,0,2
NCT05132127,Sutimlimab (BIVV009) for the Adult Participants With Cold Agglutinin Disease (CAD) Who Have Complete...,True,1,1,7,3,29,1
NCT01871727,A Trial of E7777 in Persistent and Recurrent Cutaneous T-Cell Lymphoma,True,16,42,107,61,105,4
NCT00120627,Mantram Repetition to Manage PTSD in Veterans,True,0,0,0,0,0,2
NCT00730327,A Study of BioEnterics® Intragastric Balloon (BIB®) System to Assist in the Weight Management of Obe...,True,0,27,216,25,38,2
NCT02549027,A Study to Evaluate the Effects of Single Doses of MK-1064 and MK-6096 on Polysomnography (PSG) (MK-...,True,0,0,13,0,5,5
NCT04341727,"Hydroxychloroquine,Hydroxychloroquine,Azithromycin in the Treatment of SARS CoV-2 Infection",True,0,5,12,6,22,4
NCT02066727,Lidocaine Combined Dexmedetomidine for Obturator Nerve Block,True,0,0,0,0,0,2
NCT01232127,Effects of Famotidine on the Pharmacokinetics of Atazanavir When Coadministered to Participants With...,True,0,0,11,0,3,3
NCT01653327,Analgesic Effects of Topical Ketamine Mouthwash in Patients Receiving Chemoradiation or Radiotherapy...,True,0,0,5,0,1,2
NCT03031327,Safety and Efficacy of 2 Concentrations of Lubricin vs Sodium Hyaluronate in Ocular Discomfort After...,True,0,0,0,0,0,3
NCT00894127,Sputum Labeling Utilizing Synthetic Meso Tetra (4-Carboxyphenyl) Porphine (TCPP) for Detection of Lu...,True,0,0,0,0,0,1
NCT00628927,"An Eval of Neurocognitive Function, Oxidative Damage, and Their Association With Outcomes in METH an...",True,0,0,0,0,0,2
NCT00909727,Study of Ivacaftor in Cystic Fibrosis Subjects Aged 6 to 11 Years With the G551D Mutation,True,0,11,51,14,45,2
NCT03260127,Enhancement of PTSD Treatment With Computerized Executive Function Training,True,0,0,0,0,0,2
NCT01420627,EZN-2279 in Patients With ADA-SCID,True,0,4,13,7,90,2
NCT00939627,Phase II Randomized Trial of the Combination of Cetuximab and Sorafenib or Single Agent Cetuximab,True,0,15,52,22,135,2
NCT01489527,Preparedness Study - HPV Vaccine,True,0,0,121,0,45,2
NCT03595527,Universal HIV Screening and Targeted HCV Screening in Emergency Department,True,0,0,0,0,0,1
NCT02261727,Theophylline and Steroids in Chronic Obstructive Pulmonary Disease (COPD) Study,True,7,270,620,1,2,3
NCT03691727,Induced Suppression of Platelets Activity in Aneurysmal SAH Management (iSPASM),True,1,30,30,23,52,2
NCT01191827,fMRI Cholinergic Mechanisms in Schizophrenia,True,0,0,0,0,0,2
NCT05445427,Vagal Nerve Stimulation for Post COVID Fatigue,True,0,0,2,0,2,2
NCT02586727,Role of Intravitreal Aflibercept Injection for the Treatment of Radiation Maculopathy,True,0,0,0,0,0,2
NCT01267227,"Effect of Pterostilbene on Cholesterol, Blood Pressure and Oxidative Stress",True,0,0,12,0,3,4
NCT00796627,Hypoxia-inducible Factor-1 (HIF-1) Regulated Circulating Angiogenic Cells (CACs) Recruitment in Burn...,True,0,0,0,0,0,2
NCT03379727,Study to Assess the Safety and Efficacy of Midostaurin (PKC412) in Combination With Standard Chemoth...,True,38,287,757,112,39,4
NCT05050227,Improving Depression Management,True,0,0,0,0,0,2
NCT03638427,Screening for Cervical Intraepithelial Neoplasia Using Self-collected Menstrual Blood,True,0,0,0,0,0,1
NCT01965327,Interferon Gamma-1b in Friedreich Ataxia (FRDA),True,0,0,11,0,21,1
NCT01732627,Study of a Quadrivalent Meningococcal Conjugate Vaccine in Subjects Aged 56 and Older,True,0,0,168,0,6,2
NCT00992927,Should the Joint Capsule of the Painful Stiff Shoulder be Ruptured During Intra-articular Hydraulic ...,True,0,0,0,0,0,2
NCT00578227,Evaluation of Safety and Immunogenicity of Co-administering Human Papillomavirus Vaccine With Anothe...,True,0,10,738,11,11,3
NCT01221727,The Effects of Denosumab on the Pharmacokinetics (PK) of Midazolam,True,0,0,29,0,19,6
NCT03586427,AGN-241751 in the Treatment of Major Depressive Disorder,True,0,0,82,0,13,5
NCT05139927,Using MOST to Optimize an Intervention to Increase COVID-19 Testing for Frontline Essential Workers,True,0,0,0,0,0,16
NCT03864627,A Study to Evaluate the Safety and Tolerability of MOR106 Administered Concomitantly With Topical Co...,True,0,1,16,4,15,2
NCT01618227,Rehabilitation With or Without Static Progressive Splinting for Wrist Stiffness,True,0,0,0,0,0,2
NCT05227027,Pilot Trial of a Game Embedded in a Smartphone App for Smoking Cessation,True,0,0,10,0,3,2
NCT00435227,A Study to Evaluate a Single Intramuscular Dose of Motavizumab to Treat Children With Respiratory Sy...,True,0,2,11,2,27,2
NCT02013427,Placebo In Chronic Back Pain - Double-Blind Randomized Control Trial,True,0,0,0,0,0,3
NCT03154827,"Safety, Tolerability and Efficacy of the BL-8040 and Atezolizumab for Maintenance Treatment in Subje...",True,0,1,1,1,11,1
NCT04128527,AuraOnce Performance Observation,True,0,0,0,0,0,1
NCT00632827,Treatment of PTCL With Aggressive Induction Therapy Followed by Autologous SCT Using Denileukin Dift...,True,7,21,11,8,3,1
NCT00368927,Sulindac in Preventing Lung Cancer in Current or Former Smokers With Bronchial Dysplasia,True,0,2,49,2,70,2
NCT04798027,Study of mRNA Vaccine Formulation Against COVID-19 in Healthy Adults 18 Years of Age and Older,True,0,2,158,2,36,7
NCT05178927,UFPTI 2105-BR05: Improving Breast Radiotherapy Setup and Delivery Using Mixed-Reality Visualization,True,0,0,13,0,7,4
NCT02282527,A Study to Assess Safety and PK of Liquid Alpha₁-Proteinase Inhibitor (Human) in Treating Alpha₁-Ant...,True,0,1,12,1,5,2
NCT00310427,Effect of LY686017 on Alcohol Craving,True,0,0,32,0,10,2
NCT00873327,Pharmacokinetics and Safety of Piperacillin-tazobactam in Neonates,True,0,0,0,0,0,1
NCT00129727,Carboplatin Taxol Avastin in Ovarian Cancer (OVCA),True,0,9,2,8,2,1
NCT01380327,Biomarkers of Cockroach Sublingual Immunotherapy 2,True,0,2,66,2,22,3
NCT00888927,Safety Study to Evaluate Monoclonal Antibody KW-0761 in Subjects With Peripheral T-cell Lymphoma,True,3,10,41,19,142,4
NCT03642327,SEEK: Dissemination and Implementation,True,0,0,0,0,0,2
NCT01993927,"Voglibose Tablets 0.2 / OD Tablets 0.2 Special Drug Use Surveillance ""Long-term Use in Patients With...",True,0,5,39,5,3,1
NCT01402427,Is Verapamil In TransRadial Interventions OmittabLe?,True,0,0,0,0,0,2
NCT02230527,Establishing the Microcirculatory Effects of Ticagrelor on Tissue Perfusion in Critical Limb Ischemi...,True,1,11,12,7,8,2
NCT03290027,A Study of the Safety and Efficacy of DFD-03 for the Treatment of Acne Vulgaris,True,0,3,0,3,0,2
NCT00591227,Management of Diabetes in the Emergency Room: a Randomized Trial of an Insulin Protocol.,True,0,0,0,0,0,2
NCT04034927,"Testing the Addition of an Immunotherapy Drug, Tremelimumab, to the PARP Inhibition Drug, Olaparib, ...",True,20,35,60,47,142,2
NCT05216627,COVID-19 Screening Program,True,0,0,0,0,0,1
NCT03802227,"A Study Using fMRI Imaging to Evaluate the Effect of NKTR-181 on Brain Activity in Healthy, Non-phys...",True,0,0,1,0,2,2
NCT03507127,Targeted Pharmacological and Behavioral Treatments for Smoking in Schizophrenia Study 1,True,0,1,1,1,1,2
NCT02294227,"16-week Efficacy and 2-year Safety, Tolerability and Efficacy of Secukinumab in Participants With Ac...",True,5,123,669,86,61,4
NCT00901927,"Bendamustine, Mitoxantrone, and Rituximab (BMR) for Patients With Untreated High Risk Follicular Lym...",True,0,8,8,11,40,1
NCT00836927,"Extension Trial of Deforolimus (Ridaforolimus, MK-8669) in Participants With Advanced Cancer (MK-866...",True,2,1,7,1,91,7
NCT02377427,Pharmacokinetics and Pharmacodynamics of Mepolizumab Administered Subcutaneously in Children,True,0,13,51,12,103,5
NCT03160027,Photobiomodulation for Improving Brain Function in Dementia (PBM Dementia),True,0,0,0,0,0,3
NCT00747227,Safety and Efficacy of a Violet Visible Light Blocking Intraocular Lens (IOL),True,0,2,0,1,0,2
NCT01676727,ADVANCE Direct Aortic Study,True,16,72,68,13,8,1
NCT01883427,Nasal Spray With Glucose Oxidase Preventing Common Cold in Pre-school Children,True,0,0,0,0,1,2
NCT04540627,Exploratory Study to Estimate the Prophylactic Efficacy of Palivizumab in Healthy Adult Participants...,True,0,1,26,1,4,2
NCT03534427,"The Effects of a Jump Rope Exercise Program on Vascular Health, Inflammatory Markers in Prehypertens...",True,0,0,0,0,0,2
NCT03631927,Second Survey of Intensive Care in India,True,1164,0,0,0,0,1
NCT00914927,Once-Daily Oral Avatrombopag Tablets Used in Subjects With Chronic Liver Diseases and Thrombocytopen...,True,1,20,106,26,147,7
NCT01355627,TASALL - TachoSil® Against Liquor Leak,True,0,191,194,195,6,2
NCT02525627,A Comparative Study of In-vivo Wear Between 28 mm and 40 mm Metal Heads,True,0,8,0,7,0,2
NCT00054327,Donor Stem Cell Transplant in Treating Patients With Hematologic Cancer,True,0,5,0,15,0,6
NCT00566527,Comparative Study of Immunogenicity and Safety of a 2-dose Regimen of ProQuad® Manufactured With rHA...,True,0,53,1299,29,20,3
NCT06057727,Behavioral Economics to Improve Flu Vaccination Using EHR Nudges,True,0,1,822,1,2,2
NCT04800627,Pevonedistat and Pembrolizumab for the Treatment of dMMR/MSI-H Metastatic or Locally Advanced Unrese...,True,0,0,0,0,0,1
NCT05958927,Fundus Findings and Thiol-Disulfide Homeostais,True,0,0,0,0,0,2
NCT01908127,Efficacy of Film Modelling in Paediatric Dentistry,True,0,0,0,0,0,2
NCT00700427,A Long Term Study of a Medication for Adults With Attention-Deficit/Hyperactivity Disorder (ADHD),True,0,53,1946,43,87,4
NCT02996227,Bilateral Transversus Abdominis Plane Block With Exparel Verus Continuous Epidural Analgesia With Bu...,True,0,0,0,0,0,2
NCT00905827,Patient and Provider Outcomes of E-Learning Training in Collaborative Assessment and Management of S...,True,0,0,0,0,0,3
NCT02299427,A Website to Teach Children Safety With Dogs,True,0,0,0,1,0,2
NCT00569127,Octreotide Acetate and Recombinant Interferon Alfa-2b or Bevacizumab in Treating Patients With Metas...,True,0,77,201,98,10,2
NCT02601027,Transversus Abdominis Plane Block in Microsurgical Breast Recon w/Abdominal Free Flap in Breast CA,True,0,0,48,0,28,2
NCT01262027,TKI258 for Metastatic Inflammatory Breast Cancer Patients,True,0,1,20,2,34,1
NCT01631227,Comparison of the Effect of Eprosartan and Eprosartan Mesylate on Blood Pressure in Essential Hypert...,True,0,10,33,12,1,2
NCT01462227,Effect of Naltrexone on Counterregulatory Mechanisms in Hypoglycemia,True,0,0,8,0,2,4
NCT04421027,A Study of Baricitinib (LY3009104) in Participants With COVID-19,True,203,275,0,78,0,4
NCT01613027,An Observational Study of MabThera in Participants With Severe Active Rheumatoid Arthritis,True,0,9,0,8,0,1
NCT02533427,Study to Evaluate Effect of Sofosbuvir/Velpatasvir/GS-9857 Fixed-Dose Combination on the Pharmacokin...,True,0,0,24,0,21,2
NCT00976027,Multi-Year Study of Fluzone High-Dose Influenza Vaccine Compared With Fluzone® Vaccine in Adults Age...,True,0,729,0,369,0,2
